Age,Gender,Income,Education,MaritalStatus,EmploymentStatus,CreditScore,LoanAmount,Debt,PreviousDefault,ResidenceType,Dependents,BankBalance,ExistingLoans,MonthlyExpenses,YearsEmployed,CreditHistoryYears,Approved
39,Male,270676.77,Bachelors,Single,Retired,850.0,2874366.14,0.0,0,With Parents,3,1323642.44,0,179145.74,9.6,7.3,0
35,Male,167546.54,Bachelors,Married,Employed,850.0,489228.64,719310.37,0,Rented,1,0.0,1,97415.62,15.9,2.9,1
23,Female,319074.95,Bachelors,Single,Employed,850.0,2027767.23,272448.99,1,Rented,0,966923.58,1,88258.99,1.5,1.3,1
48,Male,128145.41,High School,Married,Retired,850.0,1180279.82,933356.85,0,Rented,0,691395.74,3,66753.71,12.3,8.6,1
67,Female,360370.92,Bachelors,Married,Employed,850.0,3719345.37,287942.47,0,Owned,0,369351.78,2,135886.85,2.6,37.7,0
62,Female,335619.21,High School,Married,Employed,850.0,4007370.2,534494.02,0,Mortgaged,1,744319.17,1,194440.35,3.5,30.8,0
39,Female,234140.55,Bachelors,Divorced,Employed,850.0,2190059.75,470077.18,0,Mortgaged,0,1016959.51,1,141320.22,9.3,12.6,0
35,Male,84373.54,High School,Single,Employed,850.0,935095.94,1162867.66,0,Rented,0,0.0,3,34136.4,4.1,5.3,0
57,Male,224759.85,Bachelors,Single,Employed,850.0,2166233.19,522511.87,0,Owned,1,861817.92,1,142271.74,2.8,31.1,0
51,Male,103012.06,High School,Divorced,Student,850.0,1385016.8,0.0,0,With Parents,0,364685.96,0,43982.81,0.0,20.7,0
22,Female,88981.53,High School,Single,Employed,850.0,456169.56,0.0,0,Rented,0,11602.97,0,56301.28,6.6,0.6,0
54,Female,433318.15,PhD,Married,Self-Employed,850.0,1379852.44,0.0,0,Owned,0,1201959.45,0,163111.52,4.8,5.5,1
34,Male,271565.42,Bachelors,Married,Employed,850.0,1223999.75,283580.64,1,Owned,1,772745.79,1,81148.16,8.8,6.2,1
63,Male,125008.0,Bachelors,Married,Unemployed,850.0,1230356.64,0.0,0,With Parents,0,281072.28,0,74187.46,0.0,25.3,0
50,Male,400660.78,Bachelors,Divorced,Employed,850.0,5516721.05,0.0,0,Rented,1,1390054.0,0,266946.16,11.9,9.7,0
61,Male,276665.98,Masters,Widowed,Employed,850.0,3087433.15,93543.42,1,With Parents,0,633671.1,0,207330.74,3.1,4.2,0
55,Male,53065.89,Bachelors,Divorced,Student,850.0,461818.53,161965.04,0,Mortgaged,1,75773.81,1,30876.03,0.0,16.7,0
40,Male,570356.82,Masters,Married,Employed,850.0,1189681.15,0.0,0,Rented,2,1955798.74,0,255064.5,1.0,13.7,1
45,Female,244009.26,Bachelors,Married,Self-Employed,850.0,1808697.72,441922.54,0,Owned,0,542214.06,1,148717.62,3.0,6.7,0
49,Male,517177.31,Bachelors,Single,Self-Employed,850.0,3275395.33,291341.55,1,Rented,1,1284390.66,0,377671.13,,14.7,0
35,Male,134677.18,High School,Married,Employed,850.0,446822.95,618693.76,0,Rented,0,650401.9,1,73512.25,3.5,12.6,1
46,Male,344433.45,Masters,Married,Self-Employed,850.0,1295246.39,647082.81,0,Mortgaged,1,2178319.67,1,221213.92,12.5,18.2,1
61,Female,180690.95,Masters,Single,Unemployed,850.0,560285.27,1304194.91,0,Owned,1,559581.08,4,103289.73,0.0,20.3,1
45,Male,224638.87,High School,Married,Employed,850.0,1154672.11,192007.01,1,With Parents,0,1226361.68,0,111801.12,13.3,13.7,1
53,Male,170597.23,Bachelors,Married,Employed,850.0,675272.18,283725.96,0,Owned,4,699085.92,2,89330.62,1.0,23.4,1
49,Female,191215.78,High School,Married,Employed,850.0,2376552.72,0.0,0,Mortgaged,0,608541.61,0,76612.34,4.1,21.6,0
63,Female,162352.58,Bachelors,Married,Retired,850.0,1481526.3,549302.54,0,Rented,2,147936.78,1,90323.94,3.2,6.4,0
62,Female,961082.19,Bachelors,Single,Employed,850.0,5536078.45,496153.07,0,Rented,2,3791149.86,1,496258.53,2.7,36.3,1
52,Female,27588.64,High School,Married,Unemployed,850.0,246494.0,0.0,0,With Parents,0,11039.8,0,18949.78,0.0,23.8,0
61,Female,885942.44,PhD,Widowed,Employed,850.0,11205024.28,0.0,0,Owned,3,2410553.68,0,393416.9,17.2,15.7,0
28,Male,361590.97,High School,Single,Employed,850.0,2463238.11,1145834.9,1,Owned,0,1514092.94,2,161040.39,9.4,3.8,1
68,Female,879472.02,Masters,Married,Self-Employed,850.0,2587478.67,0.0,0,Rented,0,2168050.25,0,548518.19,5.6,27.6,1
36,Female,60627.36,Bachelors,Divorced,Retired,850.0,199872.82,0.0,0,Rented,1,0.0,0,27214.08,18.3,6.2,1
66,Female,431995.26,Bachelors,Married,Retired,850.0,4374700.06,458736.17,1,Rented,2,1966025.47,1,187750.68,4.4,18.0,0
52,Male,89041.05,Bachelors,Single,Unemployed,850.0,833612.07,0.0,0,Rented,1,153168.9,0,57962.89,0.0,27.4,0
63,Female,1015360.58,PhD,Married,Employed,850.0,7425876.28,11540.4,1,Mortgaged,1,5409467.39,0,616699.81,3.1,5.1,1
63,Female,359411.78,High School,Married,Self-Employed,850.0,1632426.17,687077.99,0,Owned,0,1916961.25,1,132560.46,1.8,21.6,1
56,Female,451708.0,Bachelors,Married,Employed,850.0,2475173.54,872624.62,0,Rented,0,3009591.48,2,280836.61,4.8,21.8,1
45,Female,190110.12,Other,Single,Self-Employed,850.0,2409549.6,0.0,0,Rented,2,0.0,0,66875.77,3.7,7.1,0
66,Male,675382.87,Masters,Married,Employed,850.0,4111582.14,0.0,0,Mortgaged,1,4104801.86,0,286493.11,13.1,37.0,1
44,Male,74896.26,Masters,Divorced,Self-Employed,813.0,511787.66,0.0,0,Rented,2,180705.75,0,55844.28,5.4,6.2,1
63,Male,418151.18,Bachelors,Single,Employed,850.0,1178851.7,0.0,0,Owned,0,1815339.21,0,291057.5,1.5,11.6,1
69,Female,364527.55,Bachelors,Married,Self-Employed,850.0,2041670.7,0.0,0,Owned,0,434820.89,0,114868.94,6.0,31.4,0
42,Male,231503.47,Masters,Divorced,Student,850.0,3088510.46,0.0,0,Owned,0,699914.93,0,83612.45,0.0,16.3,0
40,Female,165593.25,Bachelors,Single,Self-Employed,850.0,811217.66,247716.96,0,Rented,1,399980.33,1,78352.66,10.6,15.7,1
41,Male,380300.18,High School,Married,Employed,850.0,3618940.34,0.0,0,Owned,1,1227320.3,0,170298.34,4.8,8.1,0
47,Male,599702.47,Bachelors,Married,Self-Employed,850.0,3257573.06,566558.75,0,With Parents,0,749268.65,1,241582.6,4.8,5.1,0
66,Male,438365.34,Masters,Married,Employed,850.0,4155952.32,186513.06,0,With Parents,1,787218.68,1,167471.18,4.0,32.7,0
44,Female,51635.63,High School,Married,Unemployed,850.0,430738.36,0.0,0,With Parents,0,157812.48,0,21776.09,0.0,5.9,1
22,Female,257872.17,High School,Married,Self-Employed,850.0,2791494.34,645992.77,0,Owned,3,895783.8,1,123293.18,13.3,0.7,1
59,Male,396421.36,Masters,Divorced,Employed,850.0,4154278.5,0.0,0,Owned,2,738674.85,0,193668.05,4.0,24.2,0
27,Female,465449.47,Other,Married,Employed,850.0,3623194.74,582796.05,0,Rented,2,2541639.03,2,201425.34,0.4,4.3,1
42,Male,146246.9,High School,Single,Employed,850.0,1397004.31,145194.85,0,Owned,1,872374.65,1,60602.02,6.7,12.7,0
38,Female,257901.7,High School,Single,Employed,850.0,528736.72,183268.84,0,Rented,4,92513.41,1,143713.86,1.4,2.8,1
29,Female,179094.04,Other,Married,Employed,850.0,1370304.33,0.0,0,Owned,0,162262.44,0,113077.05,11.0,2.2,1
50,Male,210049.51,High School,Divorced,Self-Employed,850.0,1418623.59,0.0,0,Rented,2,140961.89,0,137177.97,7.8,14.4,0
53,Female,75540.95,Bachelors,Single,Unemployed,850.0,612992.22,220510.07,0,Rented,1,117431.77,1,43957.62,0.0,9.8,0
